Time (ms),Amplitude (V)
3959.8,2.113828125
5759.2,2.113828125
7124.2,2.10546875
8232.5,2.10984375
9253.3,2.10984375
18341.7,2.11359375
18444.5,2.11359375
18547.4,2.11359375
18650.4,2.11359375
18755.2,2.11359375
18857.9,2.11359375
18960.3,2.11359375
19062.0,2.11359375
19163.2,2.11359375
19266.5,2.11359375
19371.5,2.11359375
19474.3,2.11359375
19578.9,2.11359375
19680.6,2.11359375
19783.9,2.11359375
19885.6,2.11359375
19988.3,2.11359375
20090.9,2.11359375
20194.0,2.11359375
20296.8,2.11359375
20399.9,2.11359375
20501.9,2.11359375
20602.1,2.11359375
20706.4,2.11359375
20810.5,2.11359375
20911.8,2.11359375
21014.8,2.11359375
21118.0,2.11359375
21221.1,2.11359375
21323.9,2.11359375
21425.8,2.11359375
21527.9,2.11359375
21629.5,2.11359375
21730.5,2.11359375
21831.5,2.11359375
21935.3,2.11359375
22038.9,2.11359375
22140.7,2.11359375
22243.8,2.11359375
22345.3,2.11359375
22449.1,2.11359375
22552.9,2.11359375
22654.7,2.11359375
22758.2,2.11359375
22859.8,2.11359375
22964.0,2.11359375
23065.9,2.11359375
23167.4,2.11359375
23269.2,2.11359375
23373.3,2.11359375
23475.1,2.11359375
23577.1,2.11359375
23678.9,2.11359375
23782.8,2.11359375
23884.7,2.11359375
23986.4,2.11359375
24088.0,2.11359375
24190.2,2.11359375
24291.8,2.11359375
24393.5,2.11359375
24495.6,2.11359375
24597.2,2.11359375
24699.2,2.11359375
24800.9,2.11359375
24908.6,2.11359375
25011.3,2.11359375
25113.3,2.11359375
25215.2,2.11359375
25319.2,2.11359375
25421.6,2.11359375
25523.4,2.11359375
25625.0,2.11359375
25727.5,2.11359375
25830.0,2.11359375
25931.7,2.11359375
26033.9,2.11359375
26135.6,2.11359375
26237.6,2.11359375
26341.4,2.11359375
26443.2,2.11359375
26544.4,2.11359375
26647.0,2.11359375
26751.0,2.11359375
26852.3,2.11359375
26954.0,2.11359375
27056.0,2.11359375
27158.3,2.11359375
27260.0,2.11359375
27362.0,2.11359375
27463.2,2.11359375
27565.4,2.11359375
27667.2,2.11359375
27769.7,2.11359375
27872.1,2.11359375
27974.0,2.11359375
28075.7,2.11359375
28177.3,2.11359375
28281.0,2.11359375
28382.6,2.11359375
28485.6,2.11359375
28587.7,2.11359375
28691.4,2.120546875
28795.2,2.120546875
28897.3,2.120546875
29000.2,2.120546875
29102.5,2.119296875
29204.1,2.119296875
29305.7,2.119296875
29409.7,2.119296875
29511.3,2.119296875
29613.2,2.119296875
29715.2,2.119296875
29817.6,2.119296875
29919.7,2.119296875
30021.5,2.119296875
30123.2,2.119296875
30225.8,2.119296875
30328.1,2.119296875
30430.5,2.119296875
30532.2,2.119296875
30634.1,2.119296875
30736.6,2.119296875
30838.9,2.119296875
30940.8,2.119296875
31042.4,2.119296875
31144.3,2.119296875
31246.7,2.119296875
31349.9,2.119296875
31452.2,2.119296875
31554.0,2.119296875
31655.7,2.119296875
31757.7,2.119296875
31861.4,2.119296875
31963.2,2.119296875
32065.2,2.119296875
32166.9,2.119296875
32268.7,2.119296875
32371.5,2.119296875
32472.7,2.112265625
32573.5,2.112265625
32676.2,2.112265625
32777.7,2.112265625
32878.9,2.112265625
32983.4,2.112265625
33084.7,2.112265625
33188.4,2.112265625
33290.3,2.112265625
33392.8,2.112265625
33495.4,2.112265625
33597.7,2.112265625
33699.6,2.112265625
33801.1,2.112265625
33910.1,2.112265625
34014.0,2.112265625
34115.6,2.112265625
34219.4,2.112265625
34323.9,2.112265625
34428.4,2.112265625
34530.9,2.112265625
34632.8,2.112265625
34735.5,2.112265625
34838.1,2.112265625
34940.4,2.112265625
35042.6,2.112265625
35144.5,2.112265625
35246.1,2.112265625
35348.2,2.112265625
35451.2,2.112265625
35552.5,2.112265625
35656.3,2.112265625
35758.1,2.112265625
35860.4,2.112265625
35962.2,2.112265625
36066.8,2.112265625
36169.0,2.112265625
36270.4,2.112265625
36372.4,2.112265625
36474.7,2.112265625
36577.3,2.112265625
36681.3,2.112265625
36786.0,2.112265625
36913.6,2.112265625
37017.7,2.112265625
37119.1,2.112265625
37221.2,2.112265625
37323.8,2.112265625
37425.7,2.112265625
37530.6,2.112265625
37632.8,2.112265625
37734.9,2.112265625
37837.9,2.112265625
37942.0,2.112265625
38046.3,2.112265625
38148.1,2.112265625
38250.8,2.112265625
38353.1,2.112265625
38455.3,2.112265625
38559.7,2.112265625
38661.9,2.112265625
38764.0,2.112265625
38868.0,2.112265625
38970.7,2.112265625
39072.6,2.112265625
39175.0,2.112265625
39277.4,2.112265625
39379.2,2.112265625
39480.9,2.112265625
39583.2,2.112265625
39684.8,2.112265625
39786.6,2.112265625
39903.9,2.112265625
40005.2,2.112265625
40107.1,2.112265625
40211.0,2.112265625
40312.5,2.112265625
40415.0,2.112265625
40519.7,2.112265625
40621.2,2.112265625
40722.6,2.112265625
40825.2,2.112265625
40927.5,2.112265625
41029.8,2.112265625
41131.2,2.112265625
41233.1,2.112265625
41335.2,2.112265625
41437.2,2.112265625
41541.2,2.112265625
41643.0,2.112265625
41745.0,2.112265625
41847.5,2.112265625
41949.4,2.112265625
42051.3,2.112265625
42153.3,2.112265625
42255.4,2.112265625
42357.5,2.112265625
42460.8,2.112265625
42563.1,2.112265625
42664.6,2.112265625
42766.8,2.112265625
42868.6,2.112265625
42973.4,2.112265625
43075.5,2.112265625
43177.9,2.112265625
43280.0,2.112265625
43382.3,2.112265625
43486.2,2.112265625
43588.6,2.112265625
43689.0,2.112265625
43790.5,2.112265625
43892.8,2.112265625
43994.8,2.112265625
44096.8,2.112265625
44198.5,2.108515625
44302.2,2.108515625
44406.2,2.108515625
44506.9,2.108515625
44608.8,2.108515625
44710.2,2.108515625
44811.3,2.108515625
44913.1,2.108515625
45015.0,2.108515625
45117.7,2.108515625
45220.1,2.108515625
45322.3,2.108515625
45425.0,2.108515625
45526.5,2.108515625
45628.9,2.108515625
45730.6,2.108515625
45832.7,2.108515625
45934.8,2.108515625
46036.2,2.108515625
46140.4,2.108515625
46242.3,2.108515625
46344.1,2.108515625
46445.5,2.108515625
46549.3,2.108515625
46650.8,2.108515625
46752.7,2.108515625
46856.2,2.108515625
46958.8,2.108515625
47060.6,2.108515625
47162.3,2.108515625
47262.9,2.108515625
47365.6,2.108515625
47466.9,2.108515625
47570.5,2.108515625
47671.4,2.108515625
47774.3,2.108515625
47876.2,2.108515625
47977.8,2.108515625
48080.0,2.108515625
48181.4,2.108515625
48283.1,2.108515625
48385.2,2.108515625
48487.5,2.108515625
48589.1,2.108515625
48690.8,2.108515625
48795.0,2.108515625
48912.6,2.108515625
49016.5,2.108515625
49118.6,2.108515625
49220.9,2.108515625
49322.9,2.108515625
49424.7,2.108515625
49529.6,2.108515625
49632.0,2.108515625
49736.4,2.108515625
49839.1,2.108515625
49941.1,2.108515625
50042.3,2.108515625
50143.8,2.108515625
50245.8,2.108515625
50348.1,2.108515625
50449.8,2.108515625
50551.4,2.108515625
50653.1,2.108515625
50757.4,2.108515625
50861.2,2.108515625
50963.0,2.108515625
51066.5,2.108515625
51168.3,2.108515625
51269.9,2.108515625
51373.3,2.11
51476.8,2.11
51578.0,2.11
51682.1,2.11
51784.2,2.11
51897.7,2.11
51999.3,2.11
52101.1,2.11
52205.3,2.11
52308.0,2.11
52410.2,2.11
52514.0,2.11
52616.8,2.11
52719.1,2.11
52820.9,2.11
52925.3,2.11
53027.3,2.11
53129.4,2.11
53231.4,2.11
53333.9,2.11
53436.1,2.11
53539.0,2.11
53643.0,2.11
53744.9,2.11
53846.6,2.11
53948.2,2.11
54050.3,2.11
54151.9,2.11
54254.0,2.11
54356.5,2.11
54462.3,2.11
54564.5,2.11
54667.4,2.11
54769.7,2.11
54872.2,2.11
54974.3,2.11
55076.0,2.11
55177.4,2.11
55281.9,2.11
55384.1,2.11
55485.9,2.11
55588.5,2.129921875
55691.7,2.129921875
55796.3,2.129921875
55900.5,2.129921875
56002.7,2.129921875
56104.2,2.129921875
56206.6,2.129921875
56308.5,2.129921875
56410.7,2.129921875
56512.5,2.129921875
56614.9,2.129921875
56716.7,2.129921875
56820.6,2.129921875
56924.9,2.129921875
57030.0,2.129921875
57131.7,2.129921875
57233.7,2.129921875
57337.6,2.129921875
57442.5,2.129921875
57547.4,2.129921875
57649.3,2.129921875
57751.6,2.129921875
57853.9,2.129921875
57955.9,2.129921875
58060.7,2.11046875
58162.9,2.11046875
58267.2,2.11046875
58369.6,2.11046875
58474.0,2.11046875
58575.9,2.11046875
58677.9,2.11046875
58779.8,2.11046875
58882.3,2.11046875
58984.0,2.11046875
59085.8,2.11046875
59188.1,2.11046875
59290.4,2.11046875
59392.7,2.11046875
59495.5,2.11046875
59598.2,2.11046875
59702.6,2.11046875
59807.1,2.11046875
59909.2,2.11046875
60011.2,2.11046875
60113.0,2.11046875
60214.9,2.11046875
60317.0,2.11046875
60419.3,2.11046875
60521.8,2.11046875
60623.8,2.11046875
60725.7,2.11046875
60827.4,2.11046875
60931.9,2.11046875
61036.0,2.11046875
61137.9,2.11046875
61241.9,2.11046875
61343.9,2.11046875
61447.9,2.11046875
61550.5,2.11046875
61652.5,2.11046875
61754.3,2.11046875
61857.0,2.11046875
61959.2,2.11046875
62061.8,2.11046875
62164.5,2.11046875
62266.8,2.11046875
62368.4,2.11046875
62470.9,2.11046875
62573.0,2.11046875
62675.0,2.11046875
62776.6,2.11046875
62881.3,2.11046875
62983.6,2.11046875
63085.5,2.11046875
63187.8,2.11046875
63289.7,2.11046875
63391.8,2.11046875
63494.1,2.11046875
63595.8,2.11046875
63698.5,2.11046875
63800.8,2.11046875
63906.6,2.11046875
64011.1,2.11046875
64113.1,2.11046875
64215.8,2.11046875
64317.9,2.11046875
64421.7,2.11046875
64524.1,2.11046875
64625.2,2.11046875
64728.3,2.11046875
64831.1,2.11046875
64933.6,2.11046875
65035.5,2.11046875
65140.5,2.11046875
65243.4,2.11046875
65345.9,2.11046875
65449.9,2.111328125
65554.0,2.111328125
65655.9,2.111328125
65757.6,2.111328125
65859.8,2.111328125
65961.9,2.111328125
66063.9,2.111328125
66165.9,2.111328125
66267.8,2.111328125
66372.0,2.111328125
66475.8,2.111328125
66577.3,2.111328125
66679.5,2.111328125
66781.5,2.111328125
66901.0,2.111328125
67003.9,2.111328125
67105.5,2.111328125
67210.1,2.111328125
67312.3,2.111328125
67414.2,2.111328125
67516.4,2.111328125
67618.4,2.111328125
67720.2,2.111328125
67824.1,2.111328125
67926.8,2.111328125
68029.1,2.111328125
68131.5,2.111328125
68233.9,2.111328125
68337.5,2.111328125
68439.9,2.111328125
68541.7,2.111328125
68643.9,2.111328125
68748.4,2.111328125
68850.5,2.111328125
68952.6,2.111328125
69054.8,2.111328125
69157.1,2.111328125
69259.4,2.111328125
69361.4,2.111328125
69463.9,2.111328125
69566.8,2.111328125
69671.4,2.111328125
69773.7,2.111328125
69876.0,2.111328125
69980.4,2.111328125
70082.5,2.111328125
70184.7,2.111328125
70287.7,2.111328125
70390.2,2.111328125
70492.3,2.111328125
70594.4,2.111328125
70696.1,2.111328125
70800.9,2.111328125
70903.0,2.111328125
71005.2,2.111328125
71108.2,2.111328125
71209.5,2.111328125
71312.2,2.111328125
71414.3,2.111328125
71516.6,2.111328125
71618.7,2.111328125
71722.8,2.111328125
71826.9,2.111328125
71928.9,2.111328125
72031.1,2.111328125
72135.3,2.111328125
72238.5,2.111328125
72340.8,2.111328125
72443.2,2.111328125
72546.0,2.111328125
72650.2,2.111328125
72752.1,2.111328125
72854.0,2.111328125
72958.3,2.111328125
73060.5,2.111328125
73162.3,2.111328125
73266.9,2.111328125
73369.4,2.111328125
73471.9,2.111328125
73574.3,2.111328125
73676.6,2.111328125
73778.5,2.111328125
73882.9,2.111328125
73985.0,2.111328125
74088.4,2.111328125
74189.9,2.111328125
74292.5,2.111328125
74394.5,2.111328125
74496.5,2.105546875
74600.2,2.105546875
74704.3,2.105546875
74808.3,2.105546875
74912.6,2.105546875
75017.3,2.105546875
75121.3,2.105546875
75223.2,2.105546875
75325.3,2.105546875
75427.6,2.105546875
75529.5,2.105546875
75631.6,2.105546875
75732.9,2.105546875
75834.8,2.105546875
75937.5,2.105546875
76041.9,2.105546875
76144.1,2.105546875
76248.7,2.105546875
76350.7,2.105546875
76452.9,2.105546875
76554.1,2.105546875
76656.0,2.105546875
76758.0,2.105546875
76860.2,2.105546875
76962.0,2.105546875
77063.8,2.105546875
77166.0,2.105546875
77268.3,2.105546875
77370.7,2.105546875
77474.7,2.105546875
77578.2,2.105546875
77680.0,2.105546875
77784.1,2.105546875
77888.2,2.105546875
77990.5,2.105546875
78092.4,2.105546875
78194.3,2.105546875
78296.6,2.105546875
78399.7,2.105546875
78502.0,2.105546875
78604.0,2.105546875
78708.0,2.105546875
78809.8,2.105546875
78914.2,2.105546875
79018.3,2.105546875
79120.7,2.105546875
79225.6,2.105546875
79327.7,2.105546875
